date,nb_cas_conf,nb_hosp_tot,nb_hosp_rea,nb_deces,nb_gueri,confinement,ecole_fermee,restriction_voyage,epidemie,cfeu_20h_5h,cfeu_24h,region_id,source_id
2020-03-12,1,0,0,0,0,False,False,False,False,False,False,1,1
2020-03-13,1,0,0,0,0,False,False,False,False,False,False,1,1
2020-03-14,5,0,0,0,0,False,False,False,False,False,False,1,1
2020-03-15,5,0,0,0,0,False,False,False,False,False,False,1,1
2020-03-16,18,2,1,0,0,False,True,False,False,False,False,1,1
2020-03-17,27,3,2,0,0,True,True,False,False,False,False,1,1
2020-03-18,33,4,1,0,0,True,True,False,False,False,False,1,1
2020-03-19,45,8,3,0,0,True,True,False,True,False,False,1,1
2020-03-20,51,11,4,1,0,True,True,False,True,False,False,1,1
2020-03-21,56,14,5,1,0,True,True,False,True,False,False,1,1
2020-03-22,58,16,6,1,0,True,True,False,True,False,False,1,1
2020-03-23,62,18,6,1,0,True,True,True,True,False,False,1,1
2020-03-24,73,20,7,1,0,True,True,True,True,False,False,1,1
2020-03-25,76,19,7,1,0,True,True,True,True,False,False,1,1
2020-03-26,84,28,9,1,0,True,True,True,True,False,False,1,1
2020-03-27,96,29,9,2,17,True,True,True,True,False,False,1,1
2020-03-28,102,31,9,2,20,True,True,True,True,False,False,1,1
2020-03-29,106,26,10,4,20,True,True,True,True,False,False,1,1
2020-03-30,107,33,14,5,20,True,True,True,True,False,False,1,1
2020-03-31,114,31,14,5,22,True,True,True,True,False,False,1,1
2020-04-01,125,32,14,6,24,True,True,True,True,True,False,1,1
2020-04-02,128,31,15,6,24,True,True,True,True,True,False,1,1
2020-04-03,130,31,15,7,29,True,True,True,True,True,False,1,1
2020-04-04,134,32,15,7,31,True,True,True,True,True,False,1,1
2020-04-05,135,30,15,7,31,True,True,True,True,True,False,1,1
2020-04-06,139,31,15,7,31,True,True,True,True,True,False,1,1
2020-04-07,139,27,13,8,41,True,True,True,True,True,False,1,1
2020-04-08,141,21,13,8,43,True,True,True,True,True,False,1,1
2020-04-09,143,26,16,8,67,True,True,True,True,True,False,1,1
2020-04-10,143,21,17,8,67,True,True,True,True,True,False,1,1
2020-04-11,143,24,17,8,67,True,True,True,True,True,False,1,1
2020-04-12,143,23,16,8,67,True,True,True,True,True,True,1,1
2020-04-13,145,22,16,8,67,True,True,True,True,True,True,1,1
2020-04-14,145,24,15,8,67,True,True,True,True,True,False,1,1
